face_selectivity,psychometric_shift
-0.3033837807516031, -3.35260637409559
-0.2298215887933832, -0.40585987860336203
-0.22883071875084227, -4.398721750551786
-0.2017205143869294, 2.1853913059177685
-0.1625989833673387, 0.0885160661331561
-0.16192122825824118, -3.938254052077834
-0.12867357485083097, 2.270171621839168
-0.12608492686469308, -1.9990701999070204
-0.12159479926692018, -3.3434943331843883
-0.06839102320274026, 0.10270544745501198
-0.06805214564819195, -1.4234065889426013
-0.05931267187298239, 2.959123241747786
-0.04568622704796432, 1.6789210708047264
-0.0143158477125791, 1.206336632769581
-0.005171532748559748, 6.42514432212608
0.008383569433396687, 3.948505925594926
0.004467651025275465, -0.5345086728683448
0.007392699390854851, -4.70323246879029
0.046827345343888105, -2.023952959337045
0.054940472679267494, 1.8451858949697595
0.053266018880319344, 1.0180769387008972
0.07524464884677862, -2.9589308201649267
0.0776652028078404, 4.1797058204418995
0.07992438650483269, -0.839054312060771
0.08444275389881906, 3.117985312769406
0.10341989695355736, -1.3776820896128683
0.12397846859619133, 2.2030845892405004
0.1081641827172426, 1.250124349478451
0.2005451508486189, 0.5789565711924034
0.2382410286556329, 1.5288684180100702
0.27461286392214923, 0.9279973109607802
0.3487672464469709, 1.7585408457569969
0.38900895604965413, 2.4701425843928995
0.4531415332480364, 2.8254458301173955
0.4624794925289395, 0.37404142575365285
0.4624794925289395, -7.928531773435708
0.5348110238943224, 3.1459154243002843
0.5399910093710005, 0.8315391802412933
0.6063141879041449, 3.7363684371849466
0.5999884735525649, 0.7340997413711392
0.6376603616999192, 6.587977820205548
0.6355097926037434, 5.557016570787535
0.6529596865891136, 0.2082969922745832
0.6612123517410682, 3.9878945444205236
0.6996937807131784, 2.3048209683461707
0.7074561041848968, -0.09108777236493992
0.7855804142605187, 7.196571474996954
0.8149121492598095, 0.7566586776076178
0.8139212792172676, -1.6734905061329037
0.8337857463951028, 2.549762359345163
0.8570835782703403, 7.547260392854902
0.9265534769528676, 8.459397977007757
0.9412049476936595, -0.584388120117854
0.9392613852484519, 6.018198805703374
0.9768203142109568, 0.3041529566288901
0.9843509265342654, 3.5079642342915704
0.9843509265342654, -3.4720360365239955
0.9874210992506915, 9.837541911312073
1.0125436564196537, 1.4148251208514395
1.0400774577267526, 7.144215441164704
1.0522770496905132, 1.6391111833285947
1.1247968463639815, 4.002823252224072
1.1402346016267657, -2.1538864289808792
1.1724390437387981, 1.2742132343316577
1.2147876636275257, -0.7163071590093573
1.2253305208801581, 1.9443203206456232
1.3120831748446822, 7.050469187959543
1.3239372445959603, 2.0175392901605527
1.3513929711723556, 3.0385551087098754
1.3612580733158897, -1.337783735720123
1.4670631764583835, 9.698803856905982
1.4967801312419056, 8.554292791202247
1.5360347257959859, 7.2699056738780605
1.635704594780961, 4.689316140262278
1.6568346070057753, 5.992865240945836
1.9097219820879001, 12.529852337815331
1.9467631814531785, 2.4330972724359405
1.9776386919787452, 12.46899297233619
2.0646837108922895, 9.515692566989017
2.150143504270549, 6.9916317991631765
2.4574893092200067, 14.513717259527064
0.15702479338842767, 5.436893203883496
1.4710743801652875, -2.233009708737864
1.4876033057851235, -2.6213592233009706
1.0661157024793368, 3.2038834951456323
0.8512396694214859, 6.990291262135923
