face_detection_index_dprime,delta_accuracy,monkey
-0.2250922509224802,3.2638036809816144,C
-0.26199261992616973,1.7423312883435775,C
-0.10701107011067368,0.9734151329243579,C
-0.07749077490772205,0.7361963190184273,C
0.059040590405929905,1.235173824130905,C
0.20664206642068805,0.4662576687116857,C
0.4981549815498352,1.0715746421268242,C
0.7859778597786136,0.5398773006135373,C
0.9261992619926347,-0.024539877300569835,C
1.273062730627315,-0.25357873210628945,C
1.9261992619926205,0.7280163599182643,C
-0.3321033210331792,-1.3578732106339277,C
1.4428044280442873,-1.366053169734097,C
1.671586715867163,-3.5582822085888983,C
2.0110701107011066,-2.2494887525561715,C
2.638376383763829,-1.8323108384457294,C
2.6273062730627212,-2.249488752556159,C
3.3173431734317167,-1.832310838445717,C
3.608856088560866,-1.2188139059303724,C
3.2804428044280276,-2.797546012269848,C
-0.5645756457564235,-0.26993865030673536,E
-0.24723247232469348,-0.024539877300593815,E
0.3247232472324941,-1.0306748466257352,E
-0.265682656826538,-1.2924335378322906,E
-0.26568265682653847,-1.799591002044969,E
0.6162361623616412,-2.020449897750474,E
0.7011070110701279,-2.5357873210633546,E
0.867158671586731,-3.2801635991819618,E
0.9003690036900509,-3.5910020449897315,E
1.2287822878228885,-3.0756646216768404,E
0.892988929889313,-1.2842535787320637,E
0.8597785977859922,-0.2617586912065022,E
1.0590405904059161,-1.5132924335377869,E
1.2583025830258392,-1.7914110429447332,E
1.4132841328413366,-1.807770961145141,E
1.6125461254612596,-2.0204498977504537,E
1.1512915129151398,-5.938650306748417,E
-0.258302583025801,3.2556237218814092,E
