percent_spikes_deleted,number_of_sites
-41.96612696806133, 2.0401625922871602
-22.449200746858224, 3.055735864473192
-2.682599352621793, 19.051819518660075
16.81742177874054, 19.053087400398134
35.866857246269205, 22.019215452119038
54.701077916209215, 12.072455648521506
73.5509032844638, 3.0619777437990265
93.55092495765592, 3.063278135325241
112.31720017035133, 4.039790897042586
131.51780615280245, 1.076149844115566
151.51717763023152, 1.03843848985532
190.0172193511263, 1.0409417435432857
250+, 9.12202982447965
