x,y,irradiance_mW_mm2
125.00000000000011, 44.65709728867637,100
125.00000000000011, 205.42264752791073,10
125.00000000000011, 243.70015948963328,5
125.00000000000011, 373.8437001594898,2
125.00000000000011, 491.2280701754387,1.28
125.00000000000011, 577.9904306220096,1
125.00000000000011, 950.5582137161085,0.35
125.00000000000011, -34.44976076555031,100
125.00000000000011, -197.76714513556612,10
125.00000000000011, -237.32057416267958,5
125.00000000000011, -358.5326953748006,2
125.00000000000011, -455.5023923444976,1.28
125.00000000000011, -560.1275917065391,1
125.00000000000011, -955.6618819776713,0.35
